"subject_id","fcOrder","item","group","wave","1","2","3","4","5","form","resolution_31May2024","bin_number","unit","obscore","obscore_standardized","obscore_standardized_to_reg"
"oO4EVyNmcCaw95OzZ81f","fcCB","G1189","reg",1,0.1,0.14,0.26,0.34,0.16,"B",15238.3,3,"Index",0.1716,-0.20529851934231,NA
"SA6j8d7euDro6XzatjNQ","fcCB","G1189","reg",1,0.05,0.1,0.5,0.35,0,"B",15238.3,3,"Index",0.07375,-1.05678414567345,NA
"wef3OmvsUJkJdlJMTKTo","fcBA","G1948","reg",1,0.1,0.25,0.25,0.2,0.2,"A",2126085,1,"count",0.71625,-0.0778605732270574,NA
"JYNcLggG6xeng7vhONOS","fcCB","G1189","reg",1,0.05,0.15,0.5,0.2,0.1,"B",15238.3,3,"Index",0.07125,-1.07853901604471,NA
"HcgfdvyC1AuNCwK2XnM1","fcBA","G1948","reg",1,0.08,0.28,0.37,0.15,0.12,"A",2126085,1,"count",0.67165,-0.205562411975831,NA
"KyUoAik8BpKEx6tAQ726","fcAE","C1084","reg",1,0.04,0,0,0.16,0.8,"E",7,1,"count",1.7024,2.14824397632129,NA
"giDo1r2zlRWJhaOQtwjO","fcBA","G1948","reg",1,0.03,0.7,0.17,0.1,0,"A",2126085,1,"count",0.5119,-0.662969782830464,NA
"lky9gKMGZreLqNRfLQb0","fcAE","C1084","reg",1,0.1,0.2,0.6,0.05,0.05,"E",7,1,"count",0.65625,-0.132033998157268,NA
"5fPAvtKbs9M9BjcYmxU0","fcDC","M7949","reg",1,0,0,0.2,0.33,0.47,"C",12.116,4,"million km2",0.13045,-0.687894523940723,NA
"8dnNzoCXB1BhEOgzIafL","fcAE","C1084","reg",1,0.08,0.27,0.59,0.06,0,"E",7,1,"count",0.63625,-0.17562770794035,NA
"Qic7eO9OFexru0SPkoaV","fcED","G1920","reg",1,0.24,0.18,0.39,0.19,0,"D",550347492,1,"USD",0.47505,0.383273108429801,NA
"PtFhYXgexjXW1aaY1MjM","fcBA","G1948","reg",1,0.13,0.34,0.36,0.15,0.02,"A",2126085,1,"count",0.53355,-0.600979988908694,NA
"EgcARy4I4dqxRFy1uljh","fcBA","G1948","reg",1,0.1,0.6,0.2,0.05,0.05,"A",2126085,1,"count",0.45625,-0.822310754273721,NA
"NneQhA1SAtPySGJTD5kT","fcDC","M7949","reg",1,0.15,0.2,0.4,0.2,0.05,"C",12.116,4,"million km2",0.355,0.3163985682222,NA
"O0NYuwahmBnGRb5IPZGa","fcED","G1920","reg",1,0.24,0.06,0.23,0.41,0.06,"D",550347492,1,"USD",0.64605,0.906529982554803,NA
"jyeyCfCN3CfT45Vmut9E","fcAE","C1084","reg",1,0,0,0.3,0.3,0.4,"E",7,1,"count",1.325,1.32563067271453,NA
"SXkZQJ4KsTJedVvYz11o","fcBA","G1948","reg",1,0.42,0.17,0.26,0.15,0,"A",2126085,1,"count",0.2635,-1.37420603272274,NA
"OZxiKlHgf246UrOWZWYB","fcDC","M7949","reg",1,0,0,0,0,1,"C",12.116,4,"million km2",0.5,0.964906688300685,NA
"950AzNMugIUFBNRmlDCF","fcAE","C1084","reg",1,0.15,0.26,0.55,0.03,0.01,"E",7,1,"count",0.53615,-0.393814225404674,NA
"gHWgHzynJbowDqymIDjy","fcAE","C1084","reg",1,0.02,0.2,0.75,0.02,0.01,"E",7,1,"count",0.7849,0.148382540022407,NA
"jmSta4zKv7uVTnV75Qym","fcBA","G1948","reg",1,0.25,0.21,0.22,0.16,0.16,"A",2126085,1,"count",0.49105,-0.722668960810552,NA
"3b8X79WU0YWVcsmFGeEH","fcDC","M7949","reg",1,0,0.05,0.1,0.2,0.65,"C",12.116,4,"million km2",0.22375,-0.27061309219367,NA
"NPDs44Y57UUyhFWDsck1","fcED","G1920","reg",1,0.3,0.45,0.1,0.1,0.05,"D",550347492,1,"USD",0.28875,-0.18680148601165,NA
