"session_id","trinary_A","trinary_B","trinary_C","trinary_AB","trinary_BC","binary_statepop1","binary_statearea1","binary_gdp1","binary_statepop2","binary_statearea2","binary_gdp2","time1","time2","time3","time4","time5","time6","space1","space2","space3","space4","space5","space6","confidence_interval1","confidence_interval2","confidence_interval3","tri1_abc","tri1_ab","tri1_bc","bin1","bin2","bin3","t1","t2","s1","s2","ci1","score_mean"
"trAfliAj0s3x9luwv4wzV6FuCt",0.17,0.42,0.66,0.04,0.86,0.33,0.41,0.66,0.69,0.47,0.2,0.6,0.59,0.61,0.28,0.34,0.39,0.79,0.86,0.89,0.42,0.57,0.75,0.47,0.6,0.67,0.875,0.45,0.78,0.98,0.88,0.86,0.666666666666667,1,1,1,1,0.862878787878788
"Ttv8H0VBLDGyA58mVRYxcgPEgW",0.04,0.12,1,0.07,1,0.4,0.3,0.75,0.5,0.5,0.3,0.11,0.14,0.2,0.05,0.1,0.14,0.1,0.7,0.79,0.1,0.15,0.3,0.5,0.6,0.7,0.92,0.91,0.88,0.9,0.8,0.95,1,1,1,1,1,0.941818181818182
"TucrI1W8UgOycUJmKQHXVDxpBV",0,0.06,0.92,0,1,0.49,0.49,0.5,0.5,0.49,0.5,0.49,0.59,0.67,0.62,0.68,0.75,0.7,0.84,0.94,0.59,0.71,0.8,0.49,0.49,0.49,0.99,0.94,0.98,0.99,0.98,1,1,1,1,1,0.5,0.943636363636364
"tuPTx8mSFNTwrgegiTrWuS9XPH",0.37,0.38,0.39,0.38,0.36,0.29,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.39,0.41,0.4,0.93,0.63,0.59,0.59,0.6,0.6,0.5,0.0917517095361369,0.5,0.5,0.666666666666667,0.5634925796548
"TUvx0WflihBhZRxerP3jifEG2G",0.01,0.09,0.2,0.02,1,0.99,0.49,0.49,0.03,0.49,0.5,0.3,0.49,0.7,0.1,0.19,0.3,0.7,0.99,1,0.5,0.7,1,0.06,0.99,0.99,0.65,0.92,0.29,0.98,0.98,0.99,1,1,1,1,0.908248290463863,0.883477117314897
"TVFf2YOX42wPoL11ZMnaqQHdDm",0.1,0.1,0.7,0.09,0.09,0.7,0.49,0.51,0.39,0.5,0.5,0.61,0.6,0.6,0.49,0.5,0.51,0.59,0.59,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.95,0.89,0.29,0.91,0.99,0.99,0.0917517095361369,1,0.908248290463863,0.5,0.5,0.729090909090909
"tvrlkKyvHDuiMxxSRwvn4Xz6aY",0.5,0.5,1,0.02,1,0.65,0.74,0.51,0.65,0.64,0.4,0.29,0.4,0.56,0.16,0.19,0.24,0.78,0.82,0.79,0.4,0.57,0.76,0.7,0.75,0.84,0.5,0.02,0.5,0.7,0.62,0.91,1,1,0.666666666666667,1,1,0.71969696969697
"tWMcbKX5imn92E9EbM5LugOoXK",0.39,0.32,0.86,0.43,0.9,0.35,0.5,0.49,0.8,0.5,0.5,0.79,0.92,0.75,0.58,0.8,0.81,0.93,0.91,0.9,0.5,0.6,1,0.5,0.69,0.89,0.715,0.72,0.72,0.85,1,0.99,0.333333333333333,1,0,1,1,0.757121212121212
"TwpwwkQMwLuna23nySCX5ABfV4",0.02,0.04,1,0.06,1,1,1,0.4,0.01,0.01,0.59,0.34,0.49,0.5,0.81,0.9,0.95,0.6,1,1,0.3,0.69,1,0.84,0.92,0.95,0.97,1,0.96,0.99,0.99,0.99,1,1,0.908248290463863,1,1,0.982568026405806
"TxG5qNuAk6HnSdcHtdgUpVaUoI",0.01,0.05,1,0.04,1,0.89,0.49,0.89,0.28,0.49,0.3,0.19,0.19,0.19,0.49,0.61,0.76,0.8,0.8,0.8,0.31,0.31,0.29,0.9,0.69,0.51,0.97,0.98,0.95,0.83,0.98,0.81,0.5,1,0.5,0.0917517095361369,0,0.691977428139649
