"session_id","session_restart_id","time_elapsed","trial_index","custom_timer_ended_trial","trial_name","rt","ns_id","ns_response","wave","correct_answer","correct"
"WiMJRTZtpieHRm3ClAWipoHr0C","SGb3o2ONPK215NplFlfdAm7wub",1189734,104,FALSE,"number_series_test_trial",13073,"NS_5","5/16","2.0","8/16",0
"WiMJRTZtpieHRm3ClAWipoHr0C","SGb3o2ONPK215NplFlfdAm7wub",1200127,105,FALSE,"number_series_test_trial",10392,"NS_6","172","2.0","165",0
"WiMJRTZtpieHRm3ClAWipoHr0C","SGb3o2ONPK215NplFlfdAm7wub",1212569,106,FALSE,"number_series_test_trial",12441,"NS_7","3","2.0","43",0
"WiMJRTZtpieHRm3ClAWipoHr0C","SGb3o2ONPK215NplFlfdAm7wub",1219050,107,FALSE,"number_series_test_trial",6480,"NS_8","8000","2.0","8900",0
"WiMJRTZtpieHRm3ClAWipoHr0C","SGb3o2ONPK215NplFlfdAm7wub",1225475,108,FALSE,"number_series_test_trial",6423,"NS_9","10/14","2.0","12/16",0
"DebsBC0abituuuNqZbrWt3jR91","u09piBR9Rt2XBjdzMPHEKX1BQv",512686,107,FALSE,"number_series_test_trial",15402,"NS_1","6","3.0","-2",0
"DebsBC0abituuuNqZbrWt3jR91","u09piBR9Rt2XBjdzMPHEKX1BQv",522670,108,FALSE,"number_series_test_trial",9981,"NS_2","28","3.0","28",1
"DebsBC0abituuuNqZbrWt3jR91","u09piBR9Rt2XBjdzMPHEKX1BQv",543037,109,FALSE,"number_series_test_trial",20365,"NS_3","64","3.0","64",1
"DebsBC0abituuuNqZbrWt3jR91","u09piBR9Rt2XBjdzMPHEKX1BQv",560757,110,FALSE,"number_series_test_trial",17717,"NS_4","30","3.0","29",0
"DebsBC0abituuuNqZbrWt3jR91","u09piBR9Rt2XBjdzMPHEKX1BQv",591772,111,TRUE,"number_series_test_trial",31011,"NS_5","4","3.0","8/16",0
"DebsBC0abituuuNqZbrWt3jR91","u09piBR9Rt2XBjdzMPHEKX1BQv",606917,112,FALSE,"number_series_test_trial",15134,"NS_6","162","3.0","165",0
"DebsBC0abituuuNqZbrWt3jR91","u09piBR9Rt2XBjdzMPHEKX1BQv",614989,113,FALSE,"number_series_test_trial",8070,"NS_7","4","3.0","43",0
"DebsBC0abituuuNqZbrWt3jR91","u09piBR9Rt2XBjdzMPHEKX1BQv",630414,114,FALSE,"number_series_test_trial",15421,"NS_8","9990","3.0","8900",0
"DebsBC0abituuuNqZbrWt3jR91","u09piBR9Rt2XBjdzMPHEKX1BQv",661419,115,TRUE,"number_series_test_trial",31001,"NS_9","4","3.0","12/16",0
"pXLD8gCCp0YZ9CquUV1lQCIj5c","1zlxdqkJSNjpxeTuzeYDS0hy3y",2193921,1061,TRUE,"number_series_test_trial",31324,"NS_1",NA,"3.0","-2",NA
"pXLD8gCCp0YZ9CquUV1lQCIj5c","1zlxdqkJSNjpxeTuzeYDS0hy3y",2195642,1062,FALSE,"number_series_test_trial",1718,"NS_2","-2","3.0","28",0
"pXLD8gCCp0YZ9CquUV1lQCIj5c","1zlxdqkJSNjpxeTuzeYDS0hy3y",2211698,1063,FALSE,"number_series_test_trial",16054,"NS_3","60","3.0","64",0
"pXLD8gCCp0YZ9CquUV1lQCIj5c","1zlxdqkJSNjpxeTuzeYDS0hy3y",2233864,1064,FALSE,"number_series_test_trial",22161,"NS_4","30","3.0","29",0
"pXLD8gCCp0YZ9CquUV1lQCIj5c","1zlxdqkJSNjpxeTuzeYDS0hy3y",2265159,1065,TRUE,"number_series_test_trial",31291,"NS_5","10","3.0","8/16",0
"pXLD8gCCp0YZ9CquUV1lQCIj5c","1zlxdqkJSNjpxeTuzeYDS0hy3y",2276808,1066,FALSE,"number_series_test_trial",11647,"NS_6","152","3.0","165",0
"pXLD8gCCp0YZ9CquUV1lQCIj5c","1zlxdqkJSNjpxeTuzeYDS0hy3y",2297310,1067,FALSE,"number_series_test_trial",20498,"NS_7","10","3.0","43",0
"pXLD8gCCp0YZ9CquUV1lQCIj5c","1zlxdqkJSNjpxeTuzeYDS0hy3y",2328592,1068,TRUE,"number_series_test_trial",31279,"NS_8","89","3.0","8900",0
"pXLD8gCCp0YZ9CquUV1lQCIj5c","1zlxdqkJSNjpxeTuzeYDS0hy3y",2338519,1069,FALSE,"number_series_test_trial",9923,"NS_9","10/10","3.0","12/16",0
"rDRcOADIKvymJ2TSyULLnxWo4D","6buOomZW04tVoIyk2wo6RJC08Q",13794244,142,TRUE,"number_series_test_trial",31002,"NS_1",NA,"3.0","-2",NA
"rDRcOADIKvymJ2TSyULLnxWo4D","6buOomZW04tVoIyk2wo6RJC08Q",13811892,143,FALSE,"number_series_test_trial",17647,"NS_2","28","3.0","28",1
"rDRcOADIKvymJ2TSyULLnxWo4D","6buOomZW04tVoIyk2wo6RJC08Q",13842894,144,TRUE,"number_series_test_trial",31001,"NS_3",NA,"3.0","64",NA
"rDRcOADIKvymJ2TSyULLnxWo4D","6buOomZW04tVoIyk2wo6RJC08Q",13869722,145,FALSE,"number_series_test_trial",26827,"NS_4","29","3.0","29",1
"rDRcOADIKvymJ2TSyULLnxWo4D","6buOomZW04tVoIyk2wo6RJC08Q",13900724,146,TRUE,"number_series_test_trial",31001,"NS_5",NA,"3.0","8/16",NA
"rDRcOADIKvymJ2TSyULLnxWo4D","6buOomZW04tVoIyk2wo6RJC08Q",13921812,147,FALSE,"number_series_test_trial",21087,"NS_6","163","3.0","165",0
"rDRcOADIKvymJ2TSyULLnxWo4D","6buOomZW04tVoIyk2wo6RJC08Q",13952815,148,TRUE,"number_series_test_trial",31002,"NS_7",NA,"3.0","43",NA
"rDRcOADIKvymJ2TSyULLnxWo4D","6buOomZW04tVoIyk2wo6RJC08Q",13975310,149,FALSE,"number_series_test_trial",22494,"NS_8","8900","3.0","8900",1
"rDRcOADIKvymJ2TSyULLnxWo4D","6buOomZW04tVoIyk2wo6RJC08Q",14006311,150,TRUE,"number_series_test_trial",31000,"NS_9","10/","3.0","12/16",0
"q4nRVOcjo2BHXLaJItbKSgI6Cl","gkstQDYnOuTw7vuImoEZYZ5h09",4326955,1367,FALSE,"number_series_test_trial",10292,"NS_1","-2","3.0","-2",1
"q4nRVOcjo2BHXLaJItbKSgI6Cl","gkstQDYnOuTw7vuImoEZYZ5h09",4333669,1368,FALSE,"number_series_test_trial",6710,"NS_2","28","3.0","28",1
"q4nRVOcjo2BHXLaJItbKSgI6Cl","gkstQDYnOuTw7vuImoEZYZ5h09",4338325,1369,FALSE,"number_series_test_trial",4651,"NS_3","64","3.0","64",1
"q4nRVOcjo2BHXLaJItbKSgI6Cl","gkstQDYnOuTw7vuImoEZYZ5h09",4347730,1370,FALSE,"number_series_test_trial",9401,"NS_4","29","3.0","29",1
"q4nRVOcjo2BHXLaJItbKSgI6Cl","gkstQDYnOuTw7vuImoEZYZ5h09",4368379,1371,FALSE,"number_series_test_trial",20643,"NS_5","8/16","3.0","8/16",1
"q4nRVOcjo2BHXLaJItbKSgI6Cl","gkstQDYnOuTw7vuImoEZYZ5h09",4397866,1372,FALSE,"number_series_test_trial",29483,"NS_6","152","3.0","165",0
"q4nRVOcjo2BHXLaJItbKSgI6Cl","gkstQDYnOuTw7vuImoEZYZ5h09",4407829,1373,FALSE,"number_series_test_trial",9958,"NS_7","43","3.0","43",1
"q4nRVOcjo2BHXLaJItbKSgI6Cl","gkstQDYnOuTw7vuImoEZYZ5h09",4414788,1374,FALSE,"number_series_test_trial",6955,"NS_8","8900","3.0","8900",1
"q4nRVOcjo2BHXLaJItbKSgI6Cl","gkstQDYnOuTw7vuImoEZYZ5h09",4430094,1375,FALSE,"number_series_test_trial",15301,"NS_9","12/16","3.0","12/16",1
"Mx8vIXApijMaRfRVx5CwheNj7R","sRPWARk8wXzRjwNYFCV7c96tAO",3340595,199,FALSE,"number_series_test_trial",11717,"NS_1","-2","2.0","-2",1
"Mx8vIXApijMaRfRVx5CwheNj7R","sRPWARk8wXzRjwNYFCV7c96tAO",3351675,200,FALSE,"number_series_test_trial",11075,"NS_2","28","2.0","28",1
"Mx8vIXApijMaRfRVx5CwheNj7R","sRPWARk8wXzRjwNYFCV7c96tAO",3381920,201,FALSE,"number_series_test_trial",30241,"NS_3","64","2.0","64",1
"Mx8vIXApijMaRfRVx5CwheNj7R","sRPWARk8wXzRjwNYFCV7c96tAO",3400266,202,FALSE,"number_series_test_trial",18344,"NS_4","29","2.0","29",1
"Mx8vIXApijMaRfRVx5CwheNj7R","sRPWARk8wXzRjwNYFCV7c96tAO",3431272,203,TRUE,"number_series_test_trial",31001,"NS_5",NA,"2.0","8/16",NA
"Mx8vIXApijMaRfRVx5CwheNj7R","sRPWARk8wXzRjwNYFCV7c96tAO",3449794,204,FALSE,"number_series_test_trial",18519,"NS_6","154","2.0","165",0
"Mx8vIXApijMaRfRVx5CwheNj7R","sRPWARk8wXzRjwNYFCV7c96tAO",3474698,205,FALSE,"number_series_test_trial",24900,"NS_7","12","2.0","43",0
"Mx8vIXApijMaRfRVx5CwheNj7R","sRPWARk8wXzRjwNYFCV7c96tAO",3504696,206,FALSE,"number_series_test_trial",29994,"NS_8","9010","2.0","8900",0
"Mx8vIXApijMaRfRVx5CwheNj7R","sRPWARk8wXzRjwNYFCV7c96tAO",3530048,207,FALSE,"number_series_test_trial",25351,"NS_9","4/16","2.0","12/16",0
"Scbpoqeq5cPbK4S6JgkDakbaJk","Koo6td3nw4YcorjR8C72YXgklR",946912,600,FALSE,"number_series_test_trial",8767,"NS_1","-2","2.0","-2",1
"Scbpoqeq5cPbK4S6JgkDakbaJk","Koo6td3nw4YcorjR8C72YXgklR",953168,601,FALSE,"number_series_test_trial",6253,"NS_2","28","2.0","28",1
"Scbpoqeq5cPbK4S6JgkDakbaJk","Koo6td3nw4YcorjR8C72YXgklR",974138,602,FALSE,"number_series_test_trial",20968,"NS_3","67","2.0","64",0
"Scbpoqeq5cPbK4S6JgkDakbaJk","Koo6td3nw4YcorjR8C72YXgklR",993695,603,FALSE,"number_series_test_trial",19555,"NS_4","29","2.0","29",1
"Scbpoqeq5cPbK4S6JgkDakbaJk","Koo6td3nw4YcorjR8C72YXgklR",1025464,604,TRUE,"number_series_test_trial",31765,"NS_5",NA,"2.0","8/16",NA
"Scbpoqeq5cPbK4S6JgkDakbaJk","Koo6td3nw4YcorjR8C72YXgklR",1085465,605,TRUE,"number_series_test_trial",59996,"NS_6",NA,"2.0","165",NA
"Scbpoqeq5cPbK4S6JgkDakbaJk","Koo6td3nw4YcorjR8C72YXgklR",1117470,606,TRUE,"number_series_test_trial",31998,"NS_7",NA,"2.0","43",NA
"Scbpoqeq5cPbK4S6JgkDakbaJk","Koo6td3nw4YcorjR8C72YXgklR",1130047,607,FALSE,"number_series_test_trial",12574,"NS_8","8900","2.0","8900",1
"Scbpoqeq5cPbK4S6JgkDakbaJk","Koo6td3nw4YcorjR8C72YXgklR",1137335,608,FALSE,"number_series_test_trial",7285,"NS_9","12/14","2.0","12/16",0
"eFe95CeeQAgOoze8mvOzVQ4Hv6","VjYssdBmru7tOalICnyFgzyX5R",3474756,783,FALSE,"number_series_test_trial",11782,"NS_1","-2","3.0","-2",1
"eFe95CeeQAgOoze8mvOzVQ4Hv6","VjYssdBmru7tOalICnyFgzyX5R",3480755,784,FALSE,"number_series_test_trial",5998,"NS_2","28","3.0","28",1
"eFe95CeeQAgOoze8mvOzVQ4Hv6","VjYssdBmru7tOalICnyFgzyX5R",3487639,785,FALSE,"number_series_test_trial",6883,"NS_3","64","3.0","64",1
"eFe95CeeQAgOoze8mvOzVQ4Hv6","VjYssdBmru7tOalICnyFgzyX5R",3500870,786,FALSE,"number_series_test_trial",13230,"NS_4","29","3.0","29",1
"eFe95CeeQAgOoze8mvOzVQ4Hv6","VjYssdBmru7tOalICnyFgzyX5R",3525413,787,FALSE,"number_series_test_trial",24542,"NS_5","8/16","3.0","8/16",1
"eFe95CeeQAgOoze8mvOzVQ4Hv6","VjYssdBmru7tOalICnyFgzyX5R",3556415,788,TRUE,"number_series_test_trial",31001,"NS_6","164","3.0","165",0
"eFe95CeeQAgOoze8mvOzVQ4Hv6","VjYssdBmru7tOalICnyFgzyX5R",3575886,789,FALSE,"number_series_test_trial",19470,"NS_7","43","3.0","43",1
"eFe95CeeQAgOoze8mvOzVQ4Hv6","VjYssdBmru7tOalICnyFgzyX5R",3585779,790,FALSE,"number_series_test_trial",9891,"NS_8","8900","3.0","8900",1
"eFe95CeeQAgOoze8mvOzVQ4Hv6","VjYssdBmru7tOalICnyFgzyX5R",3612869,791,FALSE,"number_series_test_trial",27089,"NS_9","12/16","3.0","12/16",1
"bArB5qhI33ayqzPdBGfvyVkjoA","XtClsJspMTdNEi1tNhwFIm9Eme",586752,97,FALSE,"number_series_test_trial",12397,"NS_1","-2","3.0","-2",1
"bArB5qhI33ayqzPdBGfvyVkjoA","XtClsJspMTdNEi1tNhwFIm9Eme",598696,98,FALSE,"number_series_test_trial",11934,"NS_2","28","3.0","28",1
"bArB5qhI33ayqzPdBGfvyVkjoA","XtClsJspMTdNEi1tNhwFIm9Eme",620075,99,FALSE,"number_series_test_trial",21369,"NS_3","64","3.0","64",1
"bArB5qhI33ayqzPdBGfvyVkjoA","XtClsJspMTdNEi1tNhwFIm9Eme",644644,100,FALSE,"number_series_test_trial",24559,"NS_4","30","3.0","29",0
"bArB5qhI33ayqzPdBGfvyVkjoA","XtClsJspMTdNEi1tNhwFIm9Eme",674814,101,FALSE,"number_series_test_trial",30158,"NS_5","8/18","3.0","8/16",0
"bArB5qhI33ayqzPdBGfvyVkjoA","XtClsJspMTdNEi1tNhwFIm9Eme",705820,102,TRUE,"number_series_test_trial",30994,"NS_6",NA,"3.0","165",NA
"bArB5qhI33ayqzPdBGfvyVkjoA","XtClsJspMTdNEi1tNhwFIm9Eme",736827,103,TRUE,"number_series_test_trial",30997,"NS_7",NA,"3.0","43",NA
"bArB5qhI33ayqzPdBGfvyVkjoA","XtClsJspMTdNEi1tNhwFIm9Eme",751881,104,FALSE,"number_series_test_trial",15045,"NS_8","8891","3.0","8900",0
"bArB5qhI33ayqzPdBGfvyVkjoA","XtClsJspMTdNEi1tNhwFIm9Eme",767923,105,FALSE,"number_series_test_trial",16031,"NS_9","12/16","3.0","12/16",1
"MEb7oXeDnmtQ0bC3VQKEpwBH12","9NAozSzIlnTayeZyZgRhswlCbv",4272246,1308,FALSE,"number_series_test_trial",18233,"NS_1","-6","2.0","-2",0
"MEb7oXeDnmtQ0bC3VQKEpwBH12","9NAozSzIlnTayeZyZgRhswlCbv",4290464,1309,FALSE,"number_series_test_trial",18209,"NS_2","24","2.0","28",0
